run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
125,1,3,0.000262671335657,121.120752458,0.19211939912,na,0.00214196228494,del,1,sel,87012.5007494,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
125,1,3,0.000211905941026,na,na,0,0.0136721105353,del,1,neu,87012.5007494,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
125,1,3,0.000135415392147,0.1,0.001,na,0.0301179295079,ins,1,sel,87012.5007494,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
125,1,3,0.000135022829917,na,na,0,0,ins,1,neu,87012.5007494,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,29
209,1,3,0.000212391749315,na,na,0,0.0136321968984,del,1,neu,86956.7704551,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,15
209,1,3,0.000202589606154,336.819092874,0.0760023083219,na,0.0274075369339,del,1,sel,86956.7704551,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,15
209,1,3,0.000136817122987,152.283464724,0.0288090956439,na,0.0277073751142,ins,1,sel,86956.7704551,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,15
209,1,3,0.000135347151622,na,na,0,0,ins,1,neu,86956.7704551,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,15
415,1,3,0.000251059178141,171.177036139,0.155002000842,na,0.00691039897199,del,1,sel,86952.6739802,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,22
415,1,3,0.000211965243486,na,na,0,0.0138860809918,del,1,neu,86952.6739802,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,22
415,1,3,0.000134987078663,na,na,0,0,ins,1,neu,86952.6739802,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,22
415,1,3,0.000128030419332,0.1,0.00100180298748,na,0.0248040237144,ins,1,sel,86952.6739802,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,22
204,1,3,0.000215712187834,92.0737572655,0.0976586505672,na,0.051187398298,del,1,sel,86950.759272,,500,True,indel_continuous_1class,30,NA,27
204,1,3,0.000212022442843,na,na,0,0.0137908502867,del,1,neu,86950.759272,,500,True,indel_continuous_1class,30,NA,27
204,1,3,0.000158681328591,415.402545742,0.0681263874027,na,0.0160896521065,ins,1,sel,86950.759272,,500,True,indel_continuous_1class,30,NA,27
204,1,3,0.00013506278173,na,na,0,2.9876274652e-05,ins,1,neu,86950.759272,,500,True,indel_continuous_1class,30,NA,27
71,1,3,0.000227597878554,119.489192729,0.128851968728,na,0.0278563416545,del,1,sel,86948.751651,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,17
71,1,3,0.000212166252164,na,na,0,0.0134278199647,del,1,neu,86948.751651,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,17
71,1,3,0.000135276682428,na,na,0,0,ins,1,neu,86948.751651,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,17
71,1,3,0.000122065840749,0.100061597161,0.001,na,0.0308955726188,ins,1,sel,86948.751651,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,17
