category	variation	seg_sites	theta_w	pi	tajD
bin22	INS	1819	512.720823902	466.642105263	-0.376818478222
bin22	SNP	71588	20178.481771	18333.131579	-0.383897828416
bin23	DEL	2295	646.890759129	571.668421053	-0.487683004879
bin23	INDEL	7609	2144.74587634	1963.41052632	-0.354829326561
bin23	INS	1754	494.399299134	454.610526316	-0.337424012205
bin23	SNP	67508	19028.4537548	17336.0947369	-0.373347751472
bin24	DEL	2107	593.899272106	528.436842105	-0.462236144918
bin24	INDEL	7161	2018.46829025	1850.46315789	-0.349305657988
bin24	INS	1655	466.494207563	425.194736842	-0.371158091707
bin24	SNP	65069	18340.9737716	16661.9157895	-0.384297280607
bin25	DEL	2145	604.610317355	545.452631579	-0.410325240448
bin25	INDEL	7079	1995.35498208	1851.41578947	-0.302734799628
bin25	INS	1521	428.723679579	392.384210526	-0.355312886334
bin25	SNP	62219	17537.6453779	15943.4421053	-0.381588910779
bin26	DEL	2066	582.342618022	519.863157895	-0.449918927184
bin26	INDEL	6621	1866.25869986	1704.15263158	-0.364520138599
bin26	INS	1470	414.348329376	374.605263158	-0.402053498096
bin26	SNP	58313	16436.6626741	14901.0	-0.392197199325
bin27	DEL	1858	523.713738763	470.542105263	-0.425706044772
bin27	INDEL	6275	1768.73181417	1632.26315789	-0.323785246026
bin27	INS	1383	389.825673148	369.989473684	-0.213272681897
bin27	SNP	56043	15796.8186553	14400.7736842	-0.370980782228
bin28	DEL	1845	520.049433809	469.431578947	-0.408111906853
bin28	INDEL	6035	1701.08310734	1589.95263158	-0.274149654477
bin28	INS	1356	382.215193629	360.594736842	-0.237077518253
bin28	SNP	53370	15043.3811829	13704.9210526	-0.373491531824
bin29	DEL	1749	492.989951074	450.415789474	-0.362076023534
bin29	INDEL	5686	1602.71061281	1495.23157895	-0.28140963779
bin29	INS	1292	364.175538472	340.542105263	-0.271966005146
bin29	SNP	51311	14463.0116521	13269.0105263	-0.346550125672
bin30	DEL	1639	461.984293774	405.321052632	-0.514196681161
bin30	INDEL	5470	1541.82677666	1411.12631579	-0.355717485808
bin30	INS	1310	369.249191485	340.921052632	-0.321519427351
bin30	SNP	49178	13861.7837701	12648.5631579	-0.36740064216
bin31	DEL	1628	458.883728044	420.915789474	-0.346869000997
bin31	INDEL	5346	1506.87494479	1400.45263158	-0.296356940793
bin31	INS	1182	333.169881172	316.757894737	-0.206407389135
