run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
441,1,3,0.000351494138502,26.7933898439,0.140563486942,na,0.0257491258157,del,1,sel,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
441,1,3,0.00021154058833,na,na,0,0.0136450852241,del,1,neu,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
441,1,3,0.000206604888503,0.1,0.001,na,0.0139079319079,ins,1,sel,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
441,1,3,0.000134799969446,na,na,0,2.22044604925e-18,ins,1,neu,90652.243543,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
100,1,3,0.00036370209775,453.071406236,0.0740827471749,na,0.018394099076,del,1,sel,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
100,1,3,0.000210895486324,na,na,0,0.0137739477078,del,1,neu,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
100,1,3,0.00018958143335,0.1,0.00100715018256,na,0.0284362761409,ins,1,sel,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
100,1,3,0.000134344521985,na,na,0,2.22044604925e-18,ins,1,neu,90611.5207872,sel_ins_scale,500,True,indel_continuous_1class,30,NA,148,0.636086177315,1593763,939,0.000166069588452,0.000157898402447,-0.206070568581,1362,0.00024088048932,0.000217063244925,-0.414406390797
101,1,3,0.00036128995495,98.2124687471,0.12570083046,na,0.0270789132048,del,1,sel,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
101,1,3,0.000211467952362,na,na,0,0.0137040453785,del,1,neu,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
101,1,3,0.000192655018901,0.114090157346,0.254263216507,na,0.0316412438557,ins,1,sel,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
101,1,3,0.000134732505093,na,na,0,0,ins,1,neu,90595.3501399,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,217,1.02498207231,1598387,959,0.000169116088742,0.000158643485095,-0.259365316628,1336,0.000235598638748,0.000208512838584,-0.481827747466
